PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,8.3,,8.3,8.3,8.3
1,99356395,294721,COC(=O)CC1(NC2=CC(=C(C=C2S(=O)(=O)N1O)Cl)Cl)C(=O)OC,Active,99,,,59.54,1.84949,60.0642,57.0575,61.4956
2,14724300,776361,CCNC1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C=C1,Active,89,,,53.27,2.19227,55.109,50.1885,54.5112
3,47193671,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,Active,89,,,53.27,2.19186,55.1083,50.1889,54.5109
4,26659839,776411,CN(C)/C=C/1\C=C2C(=O)C3=CC=CC=C3N2C1=O,Active,89,,,53.27,2.19137,50.1891,54.5093,55.1081
5,24823236,87615,C1=CC=C(C=C1)CNC2=CC=C(C3=NON=C23)[N+](=O)[O-],Active,77,,,46.18,5.5628,49.3267,38.365,50.8553
6,56463121,135624201,CC1=NCCC2=C1NC3=C2C=CC(=C3)O.O.Cl,Active,58,,,34.58,0.112792,34.6715,34.6447,34.42
